episode_reward,moving_avg
-53.981181383132935,-53.696633061766626
-59.837954849004745,-56.125259540975094
-90.37662535905838,-58.510346700251105
-42.76541768014431,-59.18940810859203
-35.112649500370026,-56.43016529083252
-69.26069530844688,-56.33068145215511
-43.13317772746086,-53.994610571861266
-35.717056795954704,-53.18336928337813
-64.09298530220985,-55.95332125723362
-52.746836453676224,-54.702458035945895
-43.665942549705505,-53.67093415260315
-55.58508911728859,-53.245647579431534
-42.17459426820278,-48.42544447034597
-32.81010973453522,-47.429913675785066
-65.62320920825005,-50.480969646573065
-36.15147368609905,-47.17004748433828
-57.89926767349243,-48.64665647894144
-55.73471295833588,-50.648422095179555
-58.73837676644325,-50.112961241602896
-42.02913714945316,-49.04119131118059
-34.822789430618286,-48.15687599927187
-62.48958992958069,-48.84732608050108
-47.82695606350899,-49.4125622600317
-53.11650013923645,-51.443201300501826
-37.35929225385189,-48.61680960506201
-62.39910963177681,-51.241573199629784
-39.126617789268494,-49.36430821120739
-38.766314044594765,-47.667468319833276
-60.23689493536949,-47.817320136725904
-64.27058628201485,-50.04146504998207
-41.95009842514992,-50.754195949435235
-38.24386528134346,-48.32962348461151
-34.42086482048035,-46.989014360308644
-35.63951766490936,-45.241316112875936
-64.86319825053215,-47.991706712543966
-37.19350016117096,-45.47114576548338
-48.7319670021534,-46.43168068677187
-59.96979257464409,-48.5520285397768
-46.63170716166496,-47.19150976240635
-47.91977283358574,-45.55642841756344
-51.46088457107544,-46.50750703215599
-33.502547949552536,-46.0333752989769
-34.751275807619095,-46.06641639769077
-57.672094613313675,-48.269674092531204
-53.39726722240448,-47.12308098971844
-42.12318155169487,-47.616049128770825
-36.3113527148962,-46.373987700045106
-37.45913930237293,-44.122922372817996
-51.74679642915726,-44.634431299567225
-34.63497053086758,-43.3059510692954
-35.4294011592865,-41.70280272811651
-38.61297254264355,-42.21384518742561
-55.356452256441116,-44.274362832307816
-59.318956673145294,-44.439049038290975
-34.007923260331154,-42.500114642083645
-61.14058929681778,-44.401855416595936
-38.74615828692913,-44.64533597379923
-58.042571634054184,-46.70367920696735
-36.341992512345314,-45.16319881528616
-44.03418803215027,-46.10312056541443
-50.57010328769684,-47.61719077825546
-55.39283835887909,-49.29517735987902
-46.609830021858215,-48.420515136420725
-49.05532291531563,-47.39415176063776
-58.548833787441254,-49.84824281334877
-61.63739359378815,-49.89792324304581
-54.36772194504738,-51.46007960885763
-46.760746121406555,-50.33189705759287
-53.67951965332031,-52.06564977169037
-60.17920079827309,-53.68015104830265
-33.34438927471638,-51.95757964700461
-38.24042688310146,-50.24233849942684
-46.45180934667587,-50.226536431908606
-51.52628466486931,-50.47363260686397
-37.43147636950016,-48.361896865069866
-60.495059847831726,-48.247663490474224
-48.411089301109314,-47.65200022608042
-33.768400087952614,-46.35276562273502
-40.21502384543419,-45.00631604194641
-51.26580563187599,-44.1149765253067
-34.148795530200005,-44.195417150855064
-50.3512462079525,-45.406499083340165
-33.03854517638683,-44.06517266631126
-33.68147325515747,-42.28069152534008
-59.028987020254135,-44.44044259041548
-56.395815551280975,-44.0305181607604
-35.379900470376015,-42.72739927768707
-44.630298405885696,-43.81358910948038
-58.08894157409668,-45.60098088234663
-40.982248678803444,-44.57262518703938
-39.37714700400829,-45.0954603344202
-34.275964200496674,-43.48793213367462
-31.968471258878708,-43.380924741923806
-35.35862158238888,-43.54863957464695
-59.40210095047951,-43.58595096766949
-56.96571668982506,-43.642941081523894
-33.64684121310711,-43.46963515579701
-57.93274226784706,-44.79987954199314
